PV                                  NAMESPACE            CLAIM                               CAPACITY(Gi) USED(Gi)    
----------------------------------- -------------------- ----------------------------------- ------------ ------------
pvc-00c9838b-28a1-4562-8453-ce87fee57323 mme                  pvc-precio                          1            .23         
pvc-01318f86-4f44-44e8-8d7e-fc0eea1fb396 mme                  pvc-calculo-inav                    1            .05         
pvc-0b0bbe1b-bd25-4f4b-96bd-9b564f34386c redis                redis-data-redis-replicas-0         100          1.20        
pvc-0fe81ce8-67fe-4342-a672-0970bb416524 keycloak             postgres-cloudnative-kc-1           3            .66         
pvc-1028afb3-4062-42ad-9aeb-20226d9c563e postgresql-rda       data-psql-rda-postgresql-1          30           Unassigned  
pvc-1be406d9-7f95-4c00-8051-519e053a7c68 mme                  pvc-indices                         1            .08         
pvc-1deade9d-771a-40aa-8e82-8424e3b06ff9 strimzi-kafka        data-0-nuam-cluster-controller-928645 200          .04         
pvc-1e2a18bc-3f8a-4984-a886-e5fdc0120fb9 keycloak             postgres-cloudnative-kc-2           3            .64         
pvc-1f778b90-5db4-44a1-9dab-931bb339e60a postgresql-users     pg-users-1                          300          .05         
pvc-20bb3616-1391-4674-928c-ba2f34548905 postgresql-users     pg-users-2-wal                      64           .57         
pvc-2103ddbd-90c6-4a0f-804b-c45d4dfe4cf0 postgresql-nuambas   pg-nuambas-2                        300          7.35        
pvc-214d3b47-0e77-4f3d-b42d-d7fc6fb73cfb mme                  pvc-gwy-sender                      1            .01         
pvc-2ebd443d-ae13-4d02-b2e9-8802028ccfa0 postgresql-rda       pg-rda-1                            300          .08         
pvc-39d42532-023b-4405-8b51-4df4e214f455 postgresql-rda       pg-rda-2                            300          .05         
pvc-40d5d67c-fe96-47ee-9c68-eee74b9297c8 redis                redis-data-redis-master-0           100          1.22        
pvc-458a901c-6985-408d-8073-522501965616 postgresql-nuambas   pg-nuambas-1                        300          38.00       
pvc-52817ffc-a3dc-4e8e-aeb0-68e2f6096718 postgresql-nuambas   pg-nuambas-2-wal                    64           .57         
pvc-5574bedd-afd6-449f-bd3c-9200f98caf94 mme                  pvc-annulation                      1            .01         
pvc-57f5bc64-7660-4f8a-95e0-2b70fdef2fbe apisix-rda           data-apisix-rda-etcd-1              8            .44         
pvc-6121bde0-ecc2-4315-98c9-0ab9fa31586a postgresql-rda       data-psql-rda-postgresql-0          30           Unassigned  
pvc-6fdc0653-6649-4a5f-852b-b1f93889852e postgresql-nuambas   data-psql-nuambas-postgresql-1      300          Unassigned  
pvc-71115cd8-be99-49da-b45c-0440c38c1507 postgresql-rda       pg-rda-1-wal                        64           .59         
pvc-798e07a6-e60b-4372-ba1a-9925f2683bd1 apisix-rda           data-apisix-rda-etcd-2              8            .44         
pvc-88d2b525-15ad-4502-b1de-afdecaed8d54 monitoring           prometheus-grafana                  5            .09         
