PV                                  | NAMESPACE            | PVC                                 | CAPACITY   | USED       | AVAILABLE  | USE%    | POD                           
------------------------------------+----------------------+-------------------------------------+------------+------------+------------+---------+-------------------------------
pvc-00c9838b-28a1-4562-8453-ce87fee57323 | mme                  | pvc-precio                          | 1Gi        | .23Gi      | .70Gi      |   24.00% | mme-neg-precio-765866fb44-jvgl2
pvc-01318f86-4f44-44e8-8d7e-fc0eea1fb396 | mme                  | pvc-calculo-inav                    | 1Gi        | .05Gi      | .88Gi      |    5.00% | mme-neg-calculo-inav-66c6f48d85-hgg77
pvc-0b0bbe1b-bd25-4f4b-96bd-9b564f34386c | redis                | redis-data-redis-replicas-0         | 100Gi      | 1.20Gi     | 96.64Gi    |    1.00% | redis-replicas-0              
pvc-0fe81ce8-67fe-4342-a672-0970bb416524 | keycloak             | postgres-cloudnative-kc-1           | 3Gi        | .66Gi      | 2.20Gi     |   22.00% | postgres-cloudnative-kc-1     
pvc-1028afb3-4062-42ad-9aeb-20226d9c563e | postgresql-rda       | data-psql-rda-postgresql-1          | 30Gi       | 0Gi        | 0Gi        |    0.00% | Unassigned                    
pvc-1be406d9-7f95-4c00-8051-519e053a7c68 | mme                  | pvc-indices                         | 1Gi        | .08Gi      | .85Gi      |    8.00% | mme-neg-indices-77d5c7569c-t84hm
pvc-1deade9d-771a-40aa-8e82-8424e3b06ff9 | strimzi-kafka        | data-0-nuam-cluster-controller-928645 | 200Gi      | .04Gi      | 195.74Gi   |       0% | nuam-cluster-controller-928645
pvc-1e2a18bc-3f8a-4984-a886-e5fdc0120fb9 | keycloak             | postgres-cloudnative-kc-2           | 3Gi        | .64Gi      | 2.21Gi     |   22.00% | postgres-cloudnative-kc-2     
pvc-1f778b90-5db4-44a1-9dab-931bb339e60a | postgresql-users     | pg-users-1                          | 300Gi      | .05Gi      | 294.16Gi   |       0% | pg-users-1                    
pvc-20bb3616-1391-4674-928c-ba2f34548905 | postgresql-users     | pg-users-2-wal                      | 64Gi       | .57Gi      | 61.85Gi    |       0% | pg-users-2                    
pvc-2103ddbd-90c6-4a0f-804b-c45d4dfe4cf0 | postgresql-nuambas   | pg-nuambas-2                        | 300Gi      | 7.35Gi     | 286.86Gi   |    2.00% | pg-nuambas-2                  
pvc-214d3b47-0e77-4f3d-b42d-d7fc6fb73cfb | mme                  | pvc-gwy-sender                      | 1Gi        | .01Gi      | .91Gi      |    1.00% | mme-neg-gwy-sender-5f7c6c8854-xqcxm
pvc-2ebd443d-ae13-4d02-b2e9-8802028ccfa0 | postgresql-rda       | pg-rda-1                            | 300Gi      | .08Gi      | 294.13Gi   |       0% | pg-rda-1                      
pvc-39d42532-023b-4405-8b51-4df4e214f455 | postgresql-rda       | pg-rda-2                            | 300Gi      | .05Gi      | 294.15Gi   |       0% | pg-rda-2                      
pvc-40d5d67c-fe96-47ee-9c68-eee74b9297c8 | redis                | redis-data-redis-master-0           | 100Gi      | 1.22Gi     | 96.62Gi    |    1.00% | redis-master-0                
pvc-458a901c-6985-408d-8073-522501965616 | postgresql-nuambas   | pg-nuambas-1                        | 300Gi      | 38.00Gi    | 256.21Gi   |   12.00% | pg-nuambas-1                  
pvc-52817ffc-a3dc-4e8e-aeb0-68e2f6096718 | postgresql-nuambas   | pg-nuambas-2-wal                    | 64Gi       | .57Gi      | 61.85Gi    |       0% | pg-nuambas-2                  
pvc-5574bedd-afd6-449f-bd3c-9200f98caf94 | mme                  | pvc-annulation                      | 1Gi        | .01Gi      | .92Gi      |    1.00% | mme-neg-annulation-6f7d49c5-2t6cz
pvc-57f5bc64-7660-4f8a-95e0-2b70fdef2fbe | apisix-rda           | data-apisix-rda-etcd-1              | 8Gi        | .44Gi      | 7.31Gi     |    5.00% | apisix-rda-etcd-1             
pvc-6121bde0-ecc2-4315-98c9-0ab9fa31586a | postgresql-rda       | data-psql-rda-postgresql-0          | 30Gi       | 0Gi        | 0Gi        |    0.00% | Unassigned                    
pvc-6fdc0653-6649-4a5f-852b-b1f93889852e | postgresql-nuambas   | data-psql-nuambas-postgresql-1      | 300Gi      | 0Gi        | 0Gi        |    0.00% | Unassigned                    
pvc-71115cd8-be99-49da-b45c-0440c38c1507 | postgresql-rda       | pg-rda-1-wal                        | 64Gi       | .59Gi      | 61.83Gi    |       0% | pg-rda-1                      
pvc-798e07a6-e60b-4372-ba1a-9925f2683bd1 | apisix-rda           | data-apisix-rda-etcd-2              | 8Gi        | .44Gi      | 7.31Gi     |    5.00% | apisix-rda-etcd-2             
pvc-88d2b525-15ad-4502-b1de-afdecaed8d54 | monitoring           | prometheus-grafana                  | 5Gi        | .09Gi      | 4.72Gi     |    1.00% | prometheus-grafana-7f4d659d7-v7qsb
pvc-920bac0d-b57d-4dcd-b6be-7fc4850d7c6e | redis-prueba         | redis-data-redis-replicas-0         | 10Gi       | .01Gi      | 9.71Gi     |       0% | redis-replicas-0              
pvc-922e0e11-a2da-4b47-ad39-fabeb115c0ab | postgresql-rda       | pg-rda-2-wal                        | 64Gi       | .57Gi      | 61.85Gi    |       0% | pg-rda-2                      
pvc-926eee2d-db68-432d-9f1a-f19a44b9a19f | mme                  | pvc-aftermarket                     | 1Gi        | .01Gi      | .92Gi      |    1.00% | mme-neg-after-market-585689c8c7-tf64l
pvc-933e5d32-9f55-49ef-923a-ff5abf75fa6a | redis-rda            | redis-data-redis-rda-master-0       | 500Gi      | 0Gi        | 491.06Gi   |       0% | redis-rda-master-0            
pvc-964bd62d-a785-4437-973b-f7ab2943d420 | redis-prueba         | redis-data-redis-master-0           | 10Gi       | .01Gi      | 9.71Gi     |       0% | redis-master-0                
pvc-97e5c424-610d-4a6c-8c6b-3b1836fdc459 | strimzi-kafka        | data-0-nuam-cluster-broker-426820   | 500Gi      | 1.72Gi     | 489.33Gi   |       0% | nuam-cluster-broker-426820    
pvc-9a9aac2b-79ea-471c-a719-e8877cdf43a4 | postgresql-users     | pg-users-1-wal                      | 64Gi       | .57Gi      | 61.85Gi    |       0% | pg-users-1                    
pvc-a57e638b-647e-4721-b5da-55099a3c8e31 | strimzi-kafka        | data-0-nuam-cluster-controller-928644 | 200Gi      | .04Gi      | 195.74Gi   |       0% | nuam-cluster-controller-928644
pvc-a9e92de3-9c3e-47af-8b89-4a011dfd9e5a | apicurio             | cloudnative-pg-cluster-1            | 3Gi        | .57Gi      | 2.28Gi     |   19.00% | cloudnative-pg-cluster-1      
pvc-c15c5a1b-f31b-47eb-ac2e-ceaad66a3165 | mme                  | pvc-mercadoglobal                   | 1Gi        | .01Gi      | .91Gi      |    1.00% | mme-neg-mg-5476f845f-vp7q4    
pvc-c1a8303b-629f-41fa-a78d-8bc2e55d116c | mme                  | pvc-suspension                      | 1Gi        | .02Gi      | .91Gi      |    2.00% | mme-neg-suspension-56b75cb7b6-tcdl4
pvc-c1fd6541-af59-42b0-8184-a2e03fdcbf6a | strimzi-kafka        | data-0-nuam-cluster-broker-426819   | 500Gi      | 1.72Gi     | 489.33Gi   |       0% | nuam-cluster-broker-426819    
pvc-c4364dfc-33c1-49c9-bf90-f54fdf16ea20 | apisix-rda           | data-apisix-rda-etcd-0              | 8Gi        | .44Gi      | 7.31Gi     |    5.00% | apisix-rda-etcd-0             
pvc-c6e53fce-421c-4a7c-8d00-e06ea49ee010 | monitoring           | prometheus-prometheus-kube-prometheus-prometheus-db-prometheus-prometheus-kube-prometheus-prometheus-0 | 100Gi      | 0Gi        | 0Gi        |    0.00% | prometheus-prometheus-kube-prometheus-prometheus-0
pvc-c7448a5b-0894-4d0a-8ac9-126f62862d84 | postgresql-nuambas   | pg-nuambas-1-wal                    | 64Gi       | .60Gi      | 61.81Gi    |       0% | pg-nuambas-1                  
pvc-cbd044bb-d1d2-4163-befe-050971afac55 | redis-prueba         | redis-data-redis-replicas-1         | 10Gi       | 0Gi        | 0Gi        |    0.00% | Unassigned                    
pvc-d9261012-d4b0-4efe-a174-67289aab0ab4 | mme                  | pvc-cancellation                    | 1Gi        | .03Gi      | .89Gi      |    3.00% | mme-neg-co-74c646d6cd-5fg46   
pvc-d9d22b70-ba1e-43c5-8b93-50bcfea542d2 | mme                  | pvc-ts                              | 1Gi        | .14Gi      | .79Gi      |   14.00% | mme-neg-trade-statistic-sender-69d5cf4f98-d5fwd
pvc-dffbfb60-a1ef-4701-89d5-c1c734687cb6 | jenkins              | jenkins                             | 20Gi       | 1.09Gi     | 18.41Gi    |    5.00% | jenkins-0                     
pvc-e5490938-4e1c-4830-b133-f6eaf5bf9242 | monitoring           | alertmanager-prometheus-kube-prometheus-alertmanager-db-alertmanager-prometheus-kube-prometheus-alertmanager-0 | 30Gi       | 0Gi        | 29.34Gi    |       0% | alertmanager-prometheus-kube-prometheus-alertmanager-0
pvc-e58a27fc-25d7-4e64-8cb2-16ed7dd3ac27 | postgresql-users     | pg-users-2                          | 300Gi      | .03Gi      | 294.17Gi   |       0% | pg-users-2                    
pvc-e90ecabc-a18b-4d62-985d-bf366f0ff10b | mme                  | pvc-dividends                       | 1Gi        | .01Gi      | .92Gi      |    1.00% | mme-neg-dividends-557cc4b9dc-bjqz2
pvc-e9515133-afbb-4151-9a3d-0528dba97720 | postgresql-nuambas   | data-psql-nuambas-postgresql-0      | 300Gi      | 0Gi        | 0Gi        |    0.00% | Unassigned                    
pvc-ea524072-3790-4e9d-b777-a53593e48d5d | redis-rda            | redis-data-redis-rda-replicas-0     | 500Gi      | 0Gi        | 491.06Gi   |       0% | redis-rda-replicas-0          
pvc-f89b1c36-3a8e-41ca-8492-c305de278cde | mme                  | pvc-tc                              | 1Gi        | .01Gi      | .92Gi      |    1.00% | mme-neg-tc-5bc56c7c85-vrdzn   
pvc-fae20415-533b-4026-9c4e-6bf9581db28a | strimzi-kafka        | data-0-nuam-cluster-broker-426821   | 500Gi      | 1.69Gi     | 489.37Gi   |       0% | nuam-cluster-broker-426821    
pvc-fd68f97b-e97e-40dd-9592-ce4fac2c32f3 | strimzi-kafka        | data-0-nuam-cluster-controller-928643 | 200Gi      | .04Gi      | 195.74Gi   |       0% | nuam-cluster-controller-928643
